study	sample	experiment	run	ftp	name
SRP026126	SRS445949	SRX307090	SRR903125	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307090/SRR903125/SRR903125.sra	ABRF_ILMN_RIBO_C_2_2
SRP026126	SRS445945	SRX307086	SRR903096	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307086/SRR903096/SRR903096.sra	ABRF_ILMN_RIBO_B_2_4
SRP026126	SRS445944	SRX307085	SRR903083	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307085/SRR903083/SRR903083.sra	ABRF_ILMN_RIBO_B_1_2
SRP026126	SRS445956	SRX307096	SRR903172	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307096/SRR903172/SRR903172.sra	ABRF_ILMN_RIBO_D_4_7
SRP026126	SRS445949	SRX307090	SRR903127	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307090/SRR903127/SRR903127.sra	ABRF_ILMN_RIBO_C_2_3
SRP026126	SRS445922	SRX307063	SRR902942	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307063/SRR902942/SRR902942.sra	ABRF_ILMN_M_AH_1_1
SRP026126	SRS445950	SRX307091	SRR903137	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307091/SRR903137/SRR903137.sra	ABRF_ILMN_RIBO_C_3_5
SRP026126	SRS445925	SRX307066	SRR902961	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307066/SRR902961/SRR902961.sra	ABRF_ILMN_M_AS_1_2
SRP026126	SRS445946	SRX307087	SRR903098	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307087/SRR903098/SRR903098.sra	ABRF_ILMN_RIBO_B_3_2
SRP026126	SRS445946	SRX307087	SRR903105	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307087/SRR903105/SRR903105.sra	ABRF_ILMN_RIBO_B_3_3
SRP026126	SRS445944	SRX307085	SRR903089	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307085/SRR903089/SRR903089.sra	ABRF_ILMN_RIBO_B_1_3
SRP026126	SRS445924	SRX307064	SRR902951	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307064/SRR902951/SRR902951.sra	ABRF_ILMN_M_AH_2_5
SRP026126	SRS445925	SRX307066	SRR902963	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307066/SRR902963/SRR902963.sra	ABRF_ILMN_M_AS_1_3
SRP026126	SRS445923	SRX307065	SRR902955	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307065/SRR902955/SRR902955.sra	ABRF_ILMN_M_AH_3_0
SRP026126	SRS445948	SRX307089	SRR903116	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307089/SRR903116/SRR903116.sra	ABRF_ILMN_RIBO_C_1_1
SRP026126	SRS445922	SRX307063	SRR902943	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307063/SRR902943/SRR902943.sra	ABRF_ILMN_M_AH_1_2
SRP026126	SRS445948	SRX307089	SRR903114	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307089/SRR903114/SRR903114.sra	ABRF_ILMN_RIBO_C_1_2
SRP026126	SRS445949	SRX307090	SRR903126	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307090/SRR903126/SRR903126.sra	ABRF_ILMN_RIBO_C_2_4
SRP026126	SRS445949	SRX307090	SRR903122	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307090/SRR903122/SRR903122.sra	ABRF_ILMN_RIBO_C_2_5
SRP026126	SRS445954	SRX307095	SRR903165	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307095/SRR903165/SRR903165.sra	ABRF_ILMN_RIBO_D_3_0
SRP026126	SRS445928	SRX307069	SRR902982	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307069/SRR902982/SRR902982.sra	ABRF_ILMN_N_AH_1_1
SRP026126	SRS445944	SRX307085	SRR903088	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307085/SRR903088/SRR903088.sra	ABRF_ILMN_RIBO_B_1_4
SRP026126	SRS445940	SRX307081	SRR903057	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307081/SRR903057/SRR903057.sra	ABRF_ILMN_RIBO_A_1_7
SRP026126	SRS445923	SRX307065	SRR902957	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307065/SRR902957/SRR902957.sra	ABRF_ILMN_M_AH_3_1
SRP026126	SRS445923	SRX307065	SRR902956	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307065/SRR902956/SRR902956.sra	ABRF_ILMN_M_AH_3_2
SRP026126	SRS445928	SRX307069	SRR902979	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307069/SRR902979/SRR902979.sra	ABRF_ILMN_N_AH_1_2
SRP026126	SRS445946	SRX307087	SRR903100	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307087/SRR903100/SRR903100.sra	ABRF_ILMN_RIBO_B_3_4
SRP026126	SRS445952	SRX307092	SRR903142	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307092/SRR903142/SRR903142.sra	ABRF_ILMN_RIBO_C_4_0
SRP026126	SRS445948	SRX307089	SRR903115	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307089/SRR903115/SRR903115.sra	ABRF_ILMN_RIBO_C_1_3
SRP026126	SRS445953	SRX307094	SRR903156	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307094/SRR903156/SRR903156.sra	ABRF_ILMN_RIBO_D_2_0
SRP026126	SRS445943	SRX307084	SRR903076	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307084/SRR903076/SRR903076.sra	ABRF_ILMN_RIBO_A_4_0
SRP026126	SRS445927	SRX307068	SRR902977	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307068/SRR902977/SRR902977.sra	ABRF_ILMN_M_AS_3_0
SRP026126	SRS445949	SRX307090	SRR903129	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307090/SRR903129/SRR903129.sra	ABRF_ILMN_RIBO_C_2_6
SRP026126	SRS445949	SRX307090	SRR903123	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307090/SRR903123/SRR903123.sra	ABRF_ILMN_RIBO_C_2_7
SRP026126	SRS445950	SRX307091	SRR903131	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307091/SRR903131/SRR903131.sra	ABRF_ILMN_RIBO_C_3_6
SRP026126	SRS445948	SRX307089	SRR903120	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307089/SRR903120/SRR903120.sra	ABRF_ILMN_RIBO_C_1_4
SRP026126	SRS445947	SRX307088	SRR903110	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307088/SRR903110/SRR903110.sra	ABRF_ILMN_RIBO_B_4_2
SRP026126	SRS445954	SRX307095	SRR903167	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307095/SRR903167/SRR903167.sra	ABRF_ILMN_RIBO_D_3_1
SRP026126	SRS445928	SRX307069	SRR902980	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307069/SRR902980/SRR902980.sra	ABRF_ILMN_N_AH_1_3
SRP026126	SRS445944	SRX307085	SRR903086	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307085/SRR903086/SRR903086.sra	ABRF_ILMN_RIBO_B_1_5
SRP026126	SRS445943	SRX307084	SRR903075	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307084/SRR903075/SRR903075.sra	ABRF_ILMN_RIBO_A_4_1
SRP026126	SRS445944	SRX307085	SRR903085	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307085/SRR903085/SRR903085.sra	ABRF_ILMN_RIBO_B_1_6
SRP026126	SRS445950	SRX307091	SRR903134	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307091/SRR903134/SRR903134.sra	ABRF_ILMN_RIBO_C_3_7
SRP026126	SRS445953	SRX307094	SRR903155	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307094/SRR903155/SRR903155.sra	ABRF_ILMN_RIBO_D_2_1
SRP026126	SRS445947	SRX307088	SRR903112	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307088/SRR903112/SRR903112.sra	ABRF_ILMN_RIBO_B_4_3
SRP026126	SRS445926	SRX307067	SRR902969	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307067/SRR902969/SRR902969.sra	ABRF_ILMN_M_AS_2_2
SRP026126	SRS445927	SRX307068	SRR902972	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307068/SRR902972/SRR902972.sra	ABRF_ILMN_M_AS_3_1
SRP026126	SRS445948	SRX307089	SRR903117	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307089/SRR903117/SRR903117.sra	ABRF_ILMN_RIBO_C_1_5
SRP026126	SRS445954	SRX307095	SRR903168	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307095/SRR903168/SRR903168.sra	ABRF_ILMN_RIBO_D_3_2
SRP026126	SRS445927	SRX307068	SRR902974	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307068/SRR902974/SRR902974.sra	ABRF_ILMN_M_AS_3_2
SRP026126	SRS445947	SRX307088	SRR903107	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307088/SRR903107/SRR903107.sra	ABRF_ILMN_RIBO_B_4_4
SRP026126	SRS445953	SRX307094	SRR903161	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307094/SRR903161/SRR903161.sra	ABRF_ILMN_RIBO_D_2_2
SRP026126	SRS445927	SRX307068	SRR902973	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307068/SRR902973/SRR902973.sra	ABRF_ILMN_M_AS_3_3
SRP026126	SRS445923	SRX307065	SRR902954	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307065/SRR902954/SRR902954.sra	ABRF_ILMN_M_AH_3_3
SRP026126	SRS445947	SRX307088	SRR903106	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307088/SRR903106/SRR903106.sra	ABRF_ILMN_RIBO_B_4_5
SRP026126	SRS445953	SRX307094	SRR903158	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307094/SRR903158/SRR903158.sra	ABRF_ILMN_RIBO_D_2_3
