study	sample	experiment	run	ftp	name
SRP026126	SRS445952	SRX307092	SRR903140	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307092/SRR903140/SRR903140.sra	ABRF_ILMN_RIBO_C_4_5
SRP026126	SRS445944	SRX307085	SRR903082	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307085/SRR903082/SRR903082.sra	ABRF_ILMN_RIBO_B_1_7
SRP026126	SRS445946	SRX307087	SRR903102	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307087/SRR903102/SRR903102.sra	ABRF_ILMN_RIBO_B_3_6
SRP026126	SRS445947	SRX307088	SRR903108	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307088/SRR903108/SRR903108.sra	ABRF_ILMN_RIBO_B_4_7
SRP026126	SRS445922	SRX307063	SRR902944	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307063/SRR902944/SRR902944.sra	ABRF_ILMN_M_AH_1_4
SRP026126	SRS445954	SRX307095	SRR903162	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307095/SRR903162/SRR903162.sra	ABRF_ILMN_RIBO_D_3_5
SRP026126	SRS445943	SRX307084	SRR903079	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307084/SRR903079/SRR903079.sra	ABRF_ILMN_RIBO_A_4_3
SRP026126	SRS445943	SRX307084	SRR903081	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307084/SRR903081/SRR903081.sra	ABRF_ILMN_RIBO_A_4_4
SRP026126	SRS445926	SRX307067	SRR902966	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307067/SRR902966/SRR902966.sra	ABRF_ILMN_M_AS_2_5
SRP026126	SRS445951	SRX307093	SRR903153	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307093/SRR903153/SRR903153.sra	ABRF_ILMN_RIBO_D_1_7
SRP026126	SRS445946	SRX307087	SRR903099	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307087/SRR903099/SRR903099.sra	ABRF_ILMN_RIBO_B_3_7
SRP026126	SRS445922	SRX307063	SRR902945	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307063/SRR902945/SRR902945.sra	ABRF_ILMN_M_AH_1_5
SRP026126	SRS445954	SRX307095	SRR903164	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307095/SRR903164/SRR903164.sra	ABRF_ILMN_RIBO_D_3_6
SRP026126	SRS445952	SRX307092	SRR903141	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307092/SRR903141/SRR903141.sra	ABRF_ILMN_RIBO_C_4_6
SRP026126	SRS445953	SRX307094	SRR903154	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307094/SRR903154/SRR903154.sra	ABRF_ILMN_RIBO_D_2_7
SRP026126	SRS445942	SRX307083	SRR903067	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307083/SRR903067/SRR903067.sra	ABRF_ILMN_RIBO_A_3_3
SRP026126	SRS445927	SRX307068	SRR902975	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307068/SRR902975/SRR902975.sra	ABRF_ILMN_M_AS_3_5
SRP026126	SRS445954	SRX307095	SRR903163	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307095/SRR903163/SRR903163.sra	ABRF_ILMN_RIBO_D_3_7
SRP026126	SRS445942	SRX307083	SRR903071	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307083/SRR903071/SRR903071.sra	ABRF_ILMN_RIBO_A_3_4
SRP026126	SRS445943	SRX307084	SRR903077	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307084/SRR903077/SRR903077.sra	ABRF_ILMN_RIBO_A_4_5
SRP026126	SRS445942	SRX307083	SRR903072	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307083/SRR903072/SRR903072.sra	ABRF_ILMN_RIBO_A_3_5
SRP026126	SRS445945	SRX307086	SRR903091	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307086/SRR903091/SRR903091.sra	ABRF_ILMN_RIBO_B_2_7
SRP026126	SRS445943	SRX307084	SRR903074	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307084/SRR903074/SRR903074.sra	ABRF_ILMN_RIBO_A_4_6
SRP026126	SRS445942	SRX307083	SRR903070	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307083/SRR903070/SRR903070.sra	ABRF_ILMN_RIBO_A_3_6
SRP026126	SRS445952	SRX307092	SRR903143	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307092/SRR903143/SRR903143.sra	ABRF_ILMN_RIBO_C_4_7
SRP026126	SRS445942	SRX307083	SRR903068	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307083/SRR903068/SRR903068.sra	ABRF_ILMN_RIBO_A_3_7
SRP026126	SRS445943	SRX307084	SRR903078	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307084/SRR903078/SRR903078.sra	ABRF_ILMN_RIBO_A_4_7
